,,,DATA COLLECTION FOR  DIU CHAT BOT 1.0 PROJECT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cost,,,Admission,,Weiver,,Places,,Facilities,,Department,,Alumni,,About Hall,,Transport,,Food Facilities,,Extra Curriculam Activities,,Online Portal,,R&D,,Achievements,,Lab,,EXAM,
Question,Answer,TYPE,Question,Answer,Question,Answer,Question,Answer,Question,Answer,Question,Answer,Question,Answer,Question,Answer,Question,Answer,Question,Answer,Question,Answer,Question,Answer,Question,Answer,Question,Answer,Question,Answer,Question,Answer
Total Cost of DIU B.Sc in CSE ?,8 LAKH 90000,Total Cost,Admission time?,Currently only available during Spring and fall for most departments,1.    Do you have any waiver facilities?,Yes we do. Please visit this link for details: https://daffodilvarsity.edu.bd/scholarship,Location of Banamaya,"It is located at the middle of the campus opposite
of food court",What about Library?,"The purpose of the DIU library is to support academic and research activities. 
The library carries out its mission by Fulfilling the course related needs of undergraduates, 
Meeting the scholarly needs of graduate students and faculty members, Providing users 
with access to materials located inside the library system and lot more.",About CSE department,"The department of Computer Science and Engineering (CSE)  since its inception has
 been continuously fostering academic excellence through industry 
academy collaboration especially integrating industry demands of ICT skills
 in the core curriculum of the CSE program.",is any alumni association in diu?,Yes,Can the students select the room and Hall?,"Yes, we have hall facility available on campus.",How many buses are available?,Over 100,Is there any cafeteria available on DIU,YES,About DIU club,https://clubs.daffodilvarsity.edu.bd/,There are any online portals in DIU?,Yes,Dose DIU have any Division of Research,Yes.,What is the latest achievement of Daffodil International University?,"In QS Asia University Rankings 2021, it ranks 4th among the private universities in Bangladesh in the list of the best universities in Asia.",what  labs are avalable in DIU,"FAB LAB (Fabrication Lab),Computer Programming Lab,Computer Lab-101",1.    How can I remove result block?,"Clear your previous dues and contact with Registrar Office/Exam
 Office for removal of block result."
Hall costs?,15000,Every Semester,Semester's in B.sc ?,Bi-semester and 8 semesters total,2.    How can I get a waiver as a new student?,"New students can enjoy our offered waiver like result based, need based, relationship quota,
 freedom fighter quota, tribal quota, disablity quota & talent hunt scholarship",Library location,it is located at Academic building in 4th floor,Hall facilities,"Smart Living Scope,Close to the Class,Leadership Development,Cost-Effective Living Option,
Safety & SecuritySafety  ",About SWE department,"The Department of Software Engineering is committed to satisfy the growing 
demands of software professionals throughout the country and to produce skilled manpower
 for the global IT Market. It provides the students an opportunity to obtain a broad knowledge of Software Engineering, Programming, Software Development Engineering, Computer System Engineering, Electronics Engineering and Software Management. Department offers a program that produces competent software...",please provide me the alumni  joining website of diu?,https://daffodilvarsity.edu.bd/alumni-service/documents-for-alumni,Who is eligible to apply for student accommodation?,Any DIU student is eligible .,Places where buses are avialable,"Uttara - Rajlokkhi <> DSC
Dhanmondi <> DSC
Tongi College gate <> DSC
ECB Chattor <> Mirpur <> DSC
Konabari Pukur Par <> Zirabo <> Ashulia Bazar <> DSC
Baipail <> Nabinagar <> C&B <> DSC   
Dhamrai Bus Stand <> Nabinagar <> C&B <> DSC
Savar <> C&B <> DSC
Narayanganj Chasara > Dhanmondi > DSC",About diu Cafeteria,https://blog.daffodilvarsity.edu.bd/diu-cafeteria-with-a-new-look-2/,EXTRA CURRICULAR ACTIVITIES,https://daffodilvarsity.edu.bd/article/extra-curricular,About Diu online portals,"Student Portal : http://studentportal.diu.edu.bd/


DIU BLC : https://elearn.daffodilvarsity.edu.bd/",About DIU  Division of Research,"Daffodil International University cultivates educational innovations, collaborations and knowledge sharing and conducts research for improvement of life",In which region did Daffodil International University secure the first position in the UI GreenMetric World University Rankings 2018?,In South Asian,How many labs are present  in DIU,21,2.    Is there any eligibility to attend the final Improvement Exam?,"Students those who got “Grade B” or less may apply for 
improvement
 as per the deadline of department. Please see the departmental
 notice board or online notice board."
HALL ADMISSION FEE?,10000,Admission Time,Semester's in M.Sc ?,Bi-semester and 2 semesters total,What are the conditions for waivers?,"Result with 4.50 (for Social Science),4.71 (for Business), 4.80 (for all faculty) for male & 4.00 for female
 in HSC can get a waiver.",The AB4 building location,"When any student entire the university via 
Entry gate no 2 of the university the AB04 is located 
at the left side",Sports facilities,"Cricket ground with turf wicket
Football ground with floodlights
Futsal Field
Golf Court
Squash Court
Basketball court
Volleyball court
Tennis court
Table tennis room
Chess and carom room
Gymnasium with modern equipment
Swimming pool",About Multimedia & Creative Technology,"In the Department of Multimedia and Creative Technology (MCT), we nurture both students, technical skills, and their creativity, allowing them to apply their imagination, their dreams, and their artistic talents in terms of state-of-art technology.",i need alumni list of diu?,https://daffodilvarsity.edu.bd/alumni-list,When can I apply for accommodation?,During the start of a semester.,Facilities Inside The Buses,"CCTV Camera 
Fire Extinguishers
First Aid Box
Air conditionar
Excellent seats and safety belt",Cafeteria names on DIU Campus,"Green gurden,Food cort",How many  clubs are in diu?,24,,,About DIU Research Center.,The Research Centres are multi-disciplinary Centres at Daffodil International University. It promotes research and scholarly activities of its members. Scholars of different disciplines are the members of these centres. It is basically a research incubator and plays catalytic roles in developing research ideas and outputs. The research initiatives are funded by the DIU authority to patronize research for academic excellence of the faculty members as well as the university itself.,Awards & Recognition from Various National & International Levels,"Daffodil International University (DIU) has achieved lot of Awards from both National & International levels. Among the International Awards, achievement of ASOCIO 2018 ICT Education Award, Merit Award in WITSA 2017 Global ICT Excellence Awards by the largest international ICT organization, Merit Award in WITSA 2014 Global ICT Excellence Awards, World Information Technology and Services Alliance (WITSA), World Quality Commitment (WQC) Award-2010, World Congress of IT (WCIT) 2017 Merit Award, Global Inclusion Award 2017, Asia's most inspiring Nation Builder Award, Golden Star Academic & Educational Excellence Award, Amity Global Academic Excellence Award, Asia’s Best Business School Award basing on its extraordinary performance and remarkable contribution in higher education sector are some significant examples.",What’s in a FabLab?,"FabLabs share an evolving inventory of core capabilities to make (almost) anything, allowing people and projects to be shared.",3.    What is the minimum CGPA to get the certificate?,The minimum CGPA is 2.50 to get your degree certificate.
SEMESTER REGESTRATION FEE,20000,Every Semester,Total semester in a year in Honours Program?,8 semesters,Previous result required for waiver?,"Result with 4.50 (for Social Science),4.71 (for Business), 4.80 (for all faculty) for male & 4.00 for female
 in HSC can get a waiver.",Where's the admission office?,"When any student entire the university via 
Entry gate no 2 of the university the admission office 
is besides that.",Food places,"Green Garden, Safosa, Food Court etc.",About Civil department,"The Department of Civil Engineering covers a broad range of disciplines related to structural, environmental, geotechnical, transportation and water resources engineering. The syllabus involves public infrastructure, including transportation, water resources, buildings and other structures such as dams and bridges such as Civil engineers plan, design and supervise the construction of facilities",,,"Can I apply for accommodation before I know
 I am accepted to the University?","No, you can not.",Benefits Of Using University Buses/Transport,"Always on time
Safe and time consuming
Better Environment
Reduce traffic
Reduce pollution",Is there any cafeteria available on Hall,yes(in the basement),Tell me about diu club?,"Daffodil International University has a good number of clubs, providing opportunities for students to perform extra-curricular activities, which help them to exercise their talents beyond classroom boundary and develop leadership and collaboration skills. Every club is supervised by a Moderator (teacher), who engages students in various programs on a regular basis, training them in discipline, teamwork and event management. Each club is run by an executive committee that makes decisions on all club functions. The duration of a club committee is usually one year, after which a new committee is formed. Any student of DIU willing to join a club should contact the concerned club officials, fill up a form and get registered.

The club activities are regulated, monitored and assessed by a higher body in the university and top activists/performers are recognized and rewarded",,,Research centers in DIU,"1. Research Center for the Faculty of Science & Information Technology (FSIT)
2. Research Center for the Faculty of Business & Entrepreneurship (FBE)
3. Research Center for the Faculty of Humanities & Social Science (FHSS)
4. Research Center for the Faculty of Allied Health Science (FAHS)",How did Daffodil International University rank globally in the UI GreenMetric World University Rankings 2018?,Daffodil International University has achieved the top position in Bangladesh and 158th position in it,What does the FabLab network provide?,"Operational, educational, technical, financial, and logistical assistance beyond what’s available within one lab.","4.    Do I have to attend a minimum number 
of classes to attend the examinations?",Minimum of 60% of the classes you must attend.
Admission Fee,15000,Admission time,Total semester in a year in Masters Program?,2 Semesters,3.    Am I eligible to get a waiver?,"Result with 4.50 (for Social Science),4.71 (for Business), 4.80 (for all faculty) for male & 4.00 for female
 in HSC can get a waiver.",Location of boys hall?,,,,About EEE department,"The Department of  Electrical and Electronic Engineering offers programs which develop students  in such a way so that they  can solve the  design problems,  apply engineering skills, exhibit critical thinking in professional engineering practices or can tackle social, technical and business challenges.",,,Will I get a refund if I cancel my contract?,No refunds are given for that.,,,what kind of service green garden prefer?,Self Service,I want to know about DIU Computer & Programming Club?,DIU CPC is the most primitive and extensive club as well as the biggest club in Daffodil International University. We work together to explore every field of Computer Science. Our honorable Department Head Professor Dr. Touhid Bhuiyan Sir is the chief supervisor of the club.,,,Directors of Research Centers,"1. Dr. Md. Golam Mowla Choudhury, Professor, Department of Electronics and Telecommunication Engineering
2. Mr. Rafiqul Islam, Professor, Department of Business Administration
3. Mr. Shusil Kumar Das, Professor, Department of English
4. Dr. S. M. Keramat Ali, Professor, Department of Public Health",Did DIU have any International participations ?,"Yes, ICPC world championship,2023 was the last one",Who can use a FabLab?,"FabLabs are available as a community resource, offering open access for individuals as well as scheduled access for programs.","5.    I have two exams in same time slot.
 Can I attend the improvement of the missed exam without fee?","You can attend the improvement exam without fee 
in case of overlapping of exams."
Campus Development Fee,6750,Every semester,What is the process of doing dual-major?,"1.If youwant to do dual-major you need to write an application to the Head of the Department.
2.The co-ordination officer will provide guidelines for the student which s/he will have to follow.",4.    How many waivers can I enjoy?,"One students is eligible to get waiver maximum in one category. If eligible for more than one then highest 
percentage.is provided.",Where is YKSG1/YKSG2 hall?,,,,About Pharmecy department,"The Department of Pharmacy integrates the scientific, clinical and professional aspects of appropriate pharmaceutical disciplines in order to provide a comprehensive introduction to pharmaceutical knowledge.",,,Is the hall facility available on campus?,"Yes, we have hall facility available on campus.",,,Tell me about green garden ?,it has ground floor and 1st floor . Ground floor are  for student and 1st floor are for teacher,Mission of DIU CPC Club?,"The working activities of CPC can be divided into four wings,

01. Research & Journal

02. ACM Task Force

03. Development

04. Job, Career & Industry Collaboration

We work for our students to give proper guidance & encourage them in every possible way.",,,Running research projects in DIU,"1.Technical Support to the Maternal and Child Health Project
2.Advanced ICT Skills Course Development and Delivery in the Commonwealth Countries
3.Qualitative and quantitative analysis of steroids and PDE-5 inhibitors as chemical adulterants in herbal products available in Bangladesh
4.Situation analysis including mapping of high-risk areas, service delivery points and modalities, partners and logistic supply in 4 City Corporations","What does the term ""safe environment friendly"" infrastructure refer to in the context of the rankings?",,What are your responsibilities?,"Safety: Not hurting people or machines
Operations: Assisting with cleaning, maintaining, and improving the lab","6.    How can I get the cumulative results (CGPA) of 
all the courses that I have completed?","To collect draft transcript only before completion of all courses, 
you need to pay Tk.50/- to Accounts Section.
Go to the exam section and fill out the application
 form for draft transcript.
Collect your transcript when it is ready."
Extra Curriculam Fee,2250,Every semester,How can I resolve result block?,"1.Clear your previous dues
2.Contact with Registrar Office/Exam Office for resolving of blocked result.",5.    Who qualifies for a waiver?,"We offer waiver on the basis of HSC (or equivalent) result. Students having result with 4.50 (for Social
 Science),4.71 (for Business), 4.80 (for all faculty) for male & 4.00 for female in HSC can get a waiver.",Location girls/RASG hall?,,,,About Business Administration,The Department of Business Administration (DBA) strives hard to prepare tomorrow’s socially responsible business leaders aiming to be the center of excellence in the field of business education by focusing on the entrepreneurial mindset.,,,Is the AC room available in the hall?,"No, we are not offering any AC  room for the students yet.",,,what  are the food quality of green garden?,green gardeen food quality are good. there are many kind of item available in gree garden,I want to know about DIU Robotics Club?,"DIU Robotics Club is the most primitive and extensive club as well as the biggest club in Daffodil International University. Working together with a dream to improve skills and inspire generations of young innovative Engineering students. DIU Robotics Club provides free seminars, workshops, and training programs for all the students of Daffodil International University.",,,Top Funding agencies,"1.World Health Organization (WHO)
2.UNICEF Bangladesh
3.World Vision Bangladesh (WVB)
4.Proshanti UK",How does UI GreenMetric contribute to promoting green campus and sustainability in universities?,,Labs  of Faculty of Science and Information Technology,,"7.    How can I get my semester results
 from website?","Browse DIU website to find the option of ‘Virtual University’.
 Click &enter your ID in the Academic Result box.When you press enter
, your results will be displayed."
Lab Fee,3000,Every semester,"How I can extend registration duration 
for more than six years?","1.Submit an application (describing the reason) to the Registrar through Head and Dean.
2.A draft transcript need to be attached with the application.",6.    What is the waiver for both GPA Golden 5?,75% and student must maintain semester result 3.50,,,,,About LAW department,"The Department of Law is dedicated to advancing human rights, social welfare, and justice through knowledge of the law. The department has been set up to fulfill the need for excellent and wide-ranging legal education. We run a range of Law programs to help students achieve their goal of becoming successful legal professionals.",,,Is there any water filter available in the hall?,"Yes, we have the water filter service available for each student.",,,what kind of food available in green garden?,"Bengali item like rice fish meat, vegetable, vorta  & also first food and desert and cold drinks available in green garden",I want to know aboutChange Together Club?,"Daffodil International University Change Together Club is one of the most popular clubs in the university for our social and cultural activities. This is the platform where the students can express their leadership skill and all other qualities. We work on the positive changes of the society through social, cultural, mental & physical activities.",,,,,In what ways has Daffodil International University demonstrated its commitment to green campus initiatives?,,Faculty of Business & Entrepreneurship,"Labs of :
Business Administration
Business Studies","8.    How can I select a 
Supervisor for internship?","Contact your Head of the Department who will assign 
your supervisor for internship & thesis."
Library Fee,3000,Admission time,How to take extra courses in a semester?,"Students may apply to the Dean through Head of the departmentdescribing the name and credits
 of courses to be taken.",7.    what is the waiver for Golden 5 in HSC?,50% and student must maintain semester result 3.2550% and student must maintain semester result 3.25,,,,,About ESDM department,The department of Environmental Science and Disaster Management (ESDM) aims to produce high-quality graduates aspiring to become environmental scientists and make positive impacts to save the world and its population from natural disasters.,,,Is hot drinking water available,"Yes, students have access to hot drinking water in the hall.",,,is there any cafeteria in  library?,Yes there are a cafeteria avilable in diu library.,I want to know about DIU Photographic Society?,Daffodil International University Photographic Society (DIUPS) was founded in 2011 by few dedicated students of Daffodil International University's experienced photographers with a mission to organize the photographers in the University. DIUPS is working to make students more aware of different dimensions of photography as relates pleasure and professionalism.,,,,,What distinguishes UI GreenMetric from other university ranking systems?,,Faculty of Humanities & Social Science,"Labs of :
English
Law
Journalism, Media and Communication
Information Science and Library Management",9.    How can I sit in the improvement exam?,"Collect the Form of improvement exam from the department office and fill up the Form.
Pay required fees for improvement exam in the accounts section and get the clearance.
Then you submit the form to the department office. The department office will send the form
 to the relevant teacher."
Rover Scout & BNCC Fee,1000,Admission time,5.    I have already dropped three or more semesters (without informing). Now I want to continue my study.,Please follow the instructions of re-admission given in the notice board and contact to the department office.,8.    what is the waiver for both GPA 5?,35% and student must maintain semester result 3.25,,,,,About JMC department,"Aspire to become a journalist in a leading news media or channel? The Department of  Journalism, Media and Communication has got it covered with the involvement of renowned teachers and media professionals in the industry.",,,Can students stay in the hall for 15 days for trial?,"No, we are not offering any trial period in the hall.",,,is there any teacher lounge in diu,Yes in AB04 Ground Floor Teacher Lounge are available,I want to know about DIU Karate-Do Club?,"DIU Karate-Do Club is one of the most active clubs at Daffodil International University. Launched in July 2019 to ensure the safety of the students specially girls, the club has already won Gold, Silver, and Bronze more than once for Daffodil International University by participating in the national level karate competition. 

",,,,,Can you explain the impact of Daffodil International University's achievement on its global recognition initiative?,,Faculty of Engineering labs,"Information and Communication Engineering
Textile Engineering
Electrical and Electronic Engineering
Architecture
Civil Engineering
",10.    What is the fees of improvement exam?,"The student has to pay 40% of the course fees to attend the mid-term improvement
 exam and 60% of the course fees for the finalexam improvement."
Semester Fee,8250,Every semester,6.    What can I do for registration when the registration date is over?,Please follow the instructions given in the notice board and contact to the department office for further help.,9.    what is the waiver for 5 in HSC?,25% and student must maintain semester result 3.00,,,,,About ETE department,The Department of Information and Communication Engineering (ICE) former (ETE) aims to impart and improve the theoretical knowledge and practical skills of students in Information and Communication Engineering.,,,"Can students keep their luggage in the hall
 during vacation time?","Yes, students can keep their luggage in the hall
 during their vacation time.",,,how many hotel in dsc area ?,Around 200+ hotel & resturant are available in dsc area.,I want to know about Social Business Students' Forum?,Social Business Students’ Forum is a global community of students for exchanging views and ideas of social business and to shoulder the poverty-free world campaign through the Social Business philosophy of Nobel Laureate Professor Muhammad Yunus. It was established in 2012 with the vision of changing the world by eradicating poverty.,,,,,What achievement is the Department of Multimedia and Creative Technology being congratulated for?,,Faculty of Allied Health Sciences labs,"Pharmacy Lab
Nutrition and Food Engineering Labs",11.    How can I get my admit card for Mid Term and Final Exams?,"Pay your instalment (fees) and collect your exam clearance/admit card showing
 the money receipt from the Accounts Section. You need to preserve the exam
 clearance/admit card for sitting the exam."
